Divison,District,Upazila,"Lat,long",worker,citizen,Coordinator ,Planner,sensors,centers
,,9. Muktagachha Upazila,"24.7646495, 90.2567893",worker144,citizen144,Coordinator144,Planner144,sensor144,center144
,,10. Mymensingh Sadar Upazila,"24.7851062, 90.3560076",worker145,citizen145,Coordinator145,Planner145,sensor145,center145
,,11. Nandail Upazila,"24.5687223, 90.6903529",worker146,citizen146,Coordinator146,Planner146,sensor146,center146
,,12. Phulpur Upazila,"24.9545481, 90.3629287",worker147,citizen147,Coordinator147,Planner147,sensor147,center147
,,13. Tara Khanda Upazila,"24.8559556, 90.4879916",worker148,citizen148,Coordinator148,Planner148,sensor148,center148
,,14. Trishal Upazila,"24.5826359, 90.3947592",worker149,citizen149,Coordinator149,Planner149,sensor149,center149
,Netrokona District,1. Atpara Upazila,"24.8097761, 90.8603645",worker150,citizen150,Coordinator150,Planner150,sensor150,center150
,,2. Barhatta Upazila,"24.8986484, 90.8841992",worker151,citizen151,Coordinator151,Planner151,sensor151,center151
,,3. Durgapur Upazila,"24.4450645, 88.7709835",worker152,citizen152,Coordinator152,Planner152,sensor152,center152
,,4. Kalmakanda Upazila,"25.0765713, 90.88896779999999",worker153,citizen153,Coordinator153,Planner153,sensor153,center153
,,5. Khaliajuri Upazila,"24.6891728, 91.1327756",worker154,citizen154,Coordinator154,Planner154,sensor154,center154
,,6. Kendua Upazila,"24.6703752, 90.8436885",worker155,citizen155,Coordinator155,Planner155,sensor155,center155
,,7. Madan Upazila,"24.7142924, 90.9462345",worker156,citizen156,Coordinator156,Planner156,sensor156,center156
,,8. Mohanganj Upazila,"24.8743218, 90.979677",worker157,citizen157,Coordinator157,Planner157,sensor157,center157
,,9. Netrokona Sadar Upazila,"24.8820862, 90.72308699999999",worker158,citizen158,Coordinator158,Planner158,sensor158,center158
,,10. Purbadhala Upazila,"24.9430683, 90.6002879",worker159,citizen159,Coordinator159,Planner159,sensor159,center159
,Sherpur District,1. Jhenaigati Upazila,"25.1859383, 90.0629989",worker160,citizen160,Coordinator160,Planner160,sensor160,center160
,,2. Nakla Upazila,"24.9717344, 90.17856379999999",worker161,citizen161,Coordinator161,Planner161,sensor161,center161
,,3. Nalitabari Upazila,"25.0850233, 90.1939932",worker162,citizen162,Coordinator162,Planner162,sensor162,center162
,,4. Sherpur Sadar Upazila,"25.0190502, 90.01383650000001",worker163,citizen163,Coordinator163,Planner163,sensor163,center163
,,5. Sreebardi Upazila,"25.147401, 89.9393363",worker164,citizen164,Coordinator164,Planner164,sensor164,center164
Barisal,Barguna District,1. Amtali Upazila,"22.1331256, 90.23055169999999",worker165,citizen165,Coordinator165,Planner165,sensor165,center165
,,2. Bamna Upazila,"22.2741614, 90.04665589999999",worker166,citizen166,Coordinator166,Planner166,sensor166,center166
,,3. Barguna Sadar Upazila,"22.1604747, 90.1200741",worker167,citizen167,Coordinator167,Planner167,sensor167,center167
,,4. Betagi Upazila,"22.4141607, 90.1658856",worker168,citizen168,Coordinator168,Planner168,sensor168,center168
,,5. Patharghata Upazila,"22.0385459, 89.96959790000001",worker169,citizen169,Coordinator169,Planner169,sensor169,center169
,,6. Taltali Upazila,"22.0237385, 90.13077969999999",worker170,citizen170,Coordinator170,Planner170,sensor170,center170
,Barisal District,1. Agailjhara Upazila,"22.9713291, 90.16354419999999",worker171,citizen171,Coordinator171,Planner171,sensor171,center171
,,2. Babuganj Upazila,"22.8173132, 90.324615",worker172,citizen172,Coordinator172,Planner172,sensor172,center172
,,3. Bakerganj Upazila,"22.5408653, 90.3332458",worker173,citizen173,Coordinator173,Planner173,sensor173,center173
,,4. Banaripara Upazila,"22.7687676, 90.15418000000001",worker174,citizen174,Coordinator174,Planner174,sensor174,center174
,,5. Barisal Sadar Upazila,"22.7010325, 90.3534708",worker175,citizen175,Coordinator175,Planner175,sensor175,center175
,,6. Gaurnadi Upazila,"22.9726047, 90.2222575",worker176,citizen176,Coordinator176,Planner176,sensor176,center176
,,7. Hizla Upazila,"22.928412, 90.44125489999999",worker177,citizen177,Coordinator177,Planner177,sensor177,center177
,,8. Mehendiganj Upazila,"22.8260701, 90.5269639",worker178,citizen178,Coordinator178,Planner178,sensor178,center178
,,9. Muladi Upazila,"22.8875337, 90.3889622",worker179,citizen179,Coordinator179,Planner179,sensor179,center179
,,10. Wazirpur Upazila,"22.8193437, 90.2502935",worker180,citizen180,Coordinator180,Planner180,sensor180,center180
,Bhola District,1. Bhola Sadar Upazila,"22.6854519, 90.64388369999999",worker181,citizen181,Coordinator181,Planner181,sensor181,center181
,,2. Burhanuddin Upazila,"22.497857, 90.71744249999999",worker182,citizen182,Coordinator182,Planner182,sensor182,center182
,,3. Char Fasson Upazila,"22.1860271, 90.76032599999999",worker183,citizen183,Coordinator183,Planner183,sensor183,center183
,,4. Daulatkhan Upazila,"22.6051091, 90.7413661",worker184,citizen184,Coordinator184,Planner184,sensor184,center184
,,5. Lalmohan Upazila,"22.3404052, 90.7347111",worker185,citizen185,Coordinator185,Planner185,sensor185,center185
,,6. Manpura Upazila,"22.2583212, 90.9663614",worker186,citizen186,Coordinator186,Planner186,sensor186,center186
,,7. Tazumuddin Upazila,"22.4179785, 90.85083449999999",worker187,citizen187,Coordinator187,Planner187,sensor187,center187
,Jhalokati District,1. Jhalokati Sadar Upazila,"22.6407231, 90.1986968",worker188,citizen188,Coordinator188,Planner188,sensor188,center188
,,2. Kathalia Upazila,"22.4410253, 90.14063159999999",worker189,citizen189,Coordinator189,Planner189,sensor189,center189
,,3. Nalchity Upazila,"22.6282923, 90.2688178",worker190,citizen190,Coordinator190,Planner190,sensor190,center190
,,4. Rajapur Upazila,"22.570369, 90.14390929999999",worker191,citizen191,Coordinator191,Planner191,sensor191,center191
,Patuakhali District,1. Bauphal Upazila,"22.4192529, 90.55651379999999",worker192,citizen192,Coordinator192,Planner192,sensor192,center192
,,2. Dashmina Upazila,"22.2791401, 90.56833990000001",worker193,citizen193,Coordinator193,Planner193,sensor193,center193
,,3. Dumki Upazila,"22.4644533, 90.38425269999999",worker194,citizen194,Coordinator194,Planner194,sensor194,center194
,,4. Galachipa Upazila,"22.1633734, 90.41016189999999",worker195,citizen195,Coordinator195,Planner195,sensor195,center195
,,5. Kalapara Upazila,"21.9851561, 90.23105559999999",worker196,citizen196,Coordinator196,Planner196,sensor196,center196
,,6. Mirzaganj Upazila,"22.3621428, 90.211018",worker197,citizen197,Coordinator197,Planner197,sensor197,center197
